id,texto
1,tomara que eles não me vejam daqui!
2,tire isso de mim! socorro!
3,tenho que tomar cuidado com o lobisomem
4,tenho que correr pra não me pegarem
5,tenho medo de ser advertida novamente
6,temo pela sua segurança
7,tem um crocodilo selvagem vindo para cá
8,tem certeza que não é perigoso?
9,sua bondade é cativante
10,sou querida pelos meu amigos
11,sou muito afortunado
12,somos estimados por nossa família
13,socorro! ele queria roubar os meus doces!
14,socorro! ele está armado!
15,socorro nós estamos afundando
16,socorro fui intimado a depor
17,socorro eu vou cair!
18,só espero que não me façam nenhum mal
19,sinto-me viva
20,sinto-me em paz
21,sinto arrepios quando fico sozinho no escuro
22,sem música eu não vivo
23,seja cuidadoso com os meus sentimentos
24,se sair tão tarde poderei ser assaltada
25,se ficarmos quietos eles não vão nos achar
26,se eu não achar ele vai descobrir a verdade
27,se eu ajeitar tudo fica bem
28,satisfatoriamente eu anuncio o vencedor dos jogos
29,salvem-se quem puder!
30,receio que terei de ir
31,receio por não me livrar desta situação
32,que positivo ter vocês aqui
33,que abominável esse monstro!
34,quanta angústia
35,pude comprar meu celular hoje
36,por favor me soltem eu sou inocente
37,por favor deixe-me viver!
38,políticos usam suas forças para afugentar e amedrontar o povo
39,poderemos completar o projeto hoje!
40,podemos perder muito dinheiro com essa investida
41,podemos arrumar um emprego juntos
42,parece que tem olhos nos vigiando
43,palmas para a aniversariante
44,ouço passos na minha direção
45,os tubarões estão atacando!
46,os riscos são reais
47,os policiais se assustaram quando o carro capotou
48,os apaixonados sãoo maravilhosos
49,olha aquela criatura se movendo monstruosamente
50,o trabalhador é assombrado pelo temor do desemprego
51,o objetivo disso e apenas me amedrontar mais
52,o coleguismo de vocês é animador
53,o câncer é benigno
54,o amor é abundante
55,nosso ideal foi alcançado
56,nossa como você é charmoso querido
57,nessa cidade é uma desgraça atrás da outra
58,não tive culpa juro não fui eu
59,não tenho certeza se é seguro
60,não tenho certeza se e seguro
61,não sei não parece perigoso
62,não sei nadar vou me afogar!
63,não quero nem pensar no que pode acontecer
64,não precisei pagar o ingresso
65,não me preocupo com o que aconteceu
66,não me deixe por favor!
67,não estaremos a salvo aqui
68,não entro lá é um lugar muito perigoso
69,não dirija tão rápido assim
70,não consigo sair daqui!
71,não confio em você
72,não aguento este suspense
73,não achei que me divertiria tanto assim
74,na selva tem muitos animais perigosos
75,muito bem esta tudo em ordem agora
76,muita cautela aí @Bea toma cuidado! 
77,minha fortuna ultrapassará a sua
78,meu plano pode ser descoberto
79,meu deus ele desapareceu!
80,mesmo aterrorizado lembro de você
81,me sinto intimidada pela sua presença
82,me sinto completamente segura
83,me descobriram irão me prender!
84,me advertiram sobre isso
85,mas essa missão é arriscada
86,maravilhoso jogo amistoso
87,mantenha isso em segredo se descobrirem estaremos ferrados
88,ligeiro temos que fugir depressa
89,isso não é remedio não me matem
90,isso me deixa apavorada
91,isso me apavora
92,hora de apreciar um bom vinho
93,fuja! o tigre parece faminto
94,fuja se não acabaremos mortos
95,fui notificado e estou com negativo de perder a guarda da minha filha
96,foi terrível o tigre quase o matou
97,ficou lindo
98,eu vou pedir socorro!
99,eu temo que a sentença do juiz possa ser negativa
100,eu te entrego o dinheiro por favor não me mate!
101,eu não vou até a floresta negra é muito perigoso
102,eu não confio nele tenho que ter cautela
103,eu imploro não me matem!
104,eu confio em você
105,eu adorei este perfume
106,eu acho que estou sendo enganado
107,estou tremendo de negativo!
108,estou tão animada com os preparativos para o casamento
109,estou sem saída preciso de um milagre
110,estou ouvindo passos atrás de mim
111,estou namorando este vestido a um tempo
112,estou muito contente com tudo
113,estou estremecendo com essa casa
114,estou despreocupada
115,estou desconfiada de você
116,estou correndo riscos
117,estou correndo o risco de ser advertido
118,estou comovido com tamanha caridade
119,estou com muito negativo da noite
120,estou com dificuldades para respirar e muito assustado
121,estou chocado e amedrontado com este assassinato brutal
122,estou assustado com as atitudes do meu colega
123,estou assombrado pela crise financeira
124,estou aproveitando as férias
125,estou ansiosa pela sua chegada
126,estou angustiada com meus filhos na rua
127,estou angustiada
128,estou amedrontada
129,estivemos em um útimo show
130,estimo muito o seu trabalho
131,este lugar está silencioso de mais cuidado!
132,este lugar é mal assombrado
133,este lugar continua assustador
134,estamos tendo muito lucro
135,estamos namorando
136,estamos muito felizes juntos
137,esta comida me parece muito atraente
138,esse cara está me perseguindo
139,espere não pode me largar aqui sozinho
140,ele vai levar todo o meu dinheiro
141,ele esta me ameaçando a dias
142,ela é um boa garota
143,ei cuidado você vai bater no poste!
144,é um prazer conhecê-lo
145,e um deleite poder compartilhar minhas vitórias
146,e sério cuidado com essa arma!
147,é preciso afugenta com ímpeto este negativo do inferno
148,e ótimo que os menimos tenham se apaziguado
149,é muito divertido este jogo
150,é benéfico para todos esta nova medida
151,e abominável o que fazem com os animais
152,desejo a você tudo de bom
153,delicadamente ele a colocou para dormir
154,cuidado com as curvas na estrada
155,congratulações pelo seu aniversário
156,concretizei finalmente meu sonho
157,concretizamos nossa ideia
158,concluí uma tarefa muito difícil
159,concluí minha graduação
160,com todo esse charme você irá atrair a todos
161,com o consentimento dos meus pais podemos nos casar
162,calma eu não estou com o dinheiro
163,avancem com cautela
164,aterrorizado e suando frio
165,atá o cachorro está apavorado
166,assustou a população e provocou mortes
167,aquele rapaz e extremamente atraente
168,aprecio sua presença em minha escola
169,anseio por seus próximos trabalhos
170,angustiadamente vou sair de casa
171,alguém esta me ligando estou assustado
172,agradeço imensamente o seu apoio nestes dias
173,agora se sente humilhado apavorado
174,afugente os cães
175,acho que está arriscado de mais
176,achei esse sapato muito simpático
177,a noite e muito perigosa
178,a música é linda
179,a arrumação esta terminada que alívio
180,um chá quente e reconfortante
181,um grupo de elefantes selvagens tem aterrorizado vilas
182,vamos alarmar a todos sobre a situação
183,vamos aplaudir o vencedor
184,vamos aproveitar as férias
185,vamos ser caridosos este natal
186,vamos ter muita diversão
187,vamos voltar é muito perigoso
188,você esta me apavorando
189,você me atrai facilmente
190,você me completa
191,você será muito amado meu filho
192,vou apanhar se meus pais verem meu boletim
193,vou consentir o orçamento ao cliente
194,vou ficar sem mesada se tirar nota baixa
195,vou me afogar me ajudem a sair da água
196,vou ser descoberto meu deus
