id,texto,label
1,a arrumação esta terminada que alívio,positivo
2,a brisa esta agradável hoje,positivo
3,a dor esta amenizando finalmente,positivo
4,a noite e muito perigosa,negativo
5,acho que está arriscado de mais,negativo
6,acho que me apaixonei,positivo
7,adoro a cor dos seus olhos,positivo
8,adoro como você,positivo
9,adoro este doce de frutas,positivo
10,adoro seu cabelo macio,positivo
11,afugente os cães,negativo
12,alguém esta me ligando estou assustado,negativo
13,amar é maravilhoso,positivo
14,anseio por seus próximos trabalhos,positivo
15,aprecio sua presença em minha escola,positivo
16,aquele rapaz e extremamente atraente,positivo
17,as maravilhas do mundo,positivo
18,avancem com cautela,negativo
19,calma eu não estou com o dinheiro,negativo
20,com todo esse charme você irá atrair a todos,positivo
21,como este lugar e confortável,positivo
22,como o luar é belo,positivo
23,concretizei finalmente meu sonho,positivo
24,cuidado com as curvas na estrada,negativo
25,desejo a você tudo de bom,positivo
26,e bom estar quente neste frio,positivo
27,é desejável a sua presença em nossa apresentação,positivo
28,é emocionante estar neste lugar,positivo
29,é muito bom estar com os amigos,positivo
30,e ótimo que os menimos tenham se apaziguado,positivo
31,é preciso afugenta com ímpeto este medo do inferno,negativo
32,e sério cuidado com essa arma!,negativo
33,é tão engraçado tentar explicar,positivo
34,é um enorme prazer ter você em nossa equipe,positivo
35,ei cuidado você vai bater no poste!,negativo
36,ele é realmente fiel a mim,positivo
37,ele vai levar todo o meu dinheiro,negativo
38,espere não pode me largar aqui sozinho,negativo
39,essa é a melhor escolhas de todas,positivo
40,essa pintura esta bem brilhante,positivo
41,esse cara está me perseguindo,negativo
42,estamos tendo muito lucro,positivo
43,este lugar continua assustador,negativo
44,este lugar está silencioso de mais cuidado!,negativo
45,este trabalho é agradável,positivo
46,estou agradecida pela ajuda,positivo
47,estou cativada pelo seu olhar,positivo
48,estou chocado e amedrontado com este assassinato brutal,negativo
49,estou comovido com tamanha caridade,positivo
50,estou completamente apaixonada,positivo
51,estou contente com o apoio,positivo
52,estou contente fui aceita na faculdade,positivo
